"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","AQS_PARAMETER"
NA,18,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,14,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,22,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,9,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,28,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,31,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,9,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,21,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,40,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,16,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,40,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,17,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,13,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,48,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,28,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,54,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,39,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,16,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,15,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,46,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,25,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,45,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,21,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,29,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,24,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,44,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,43,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,24,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,30,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,29,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,38,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,23,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
